question_id,answer
7,false
4,false
15,true
2,true
8,true
12,true
13,true
1,true
10,true
3,true
9,true
16,false
5,true
6,false
11,false
14,false
20,true
17,true
25,true
22,false
21,true
19,false
24,false
18,true
27,false
26,true
29,true
28,true
32,true
30,true
23,true
40,true
38,true
33,true
34,true
35,true
36,false
39,true
42,true
31,true
43,false
45,true
41,true
44,true
47,true
46,true
48,true
50,true
53,true
49,false
52,true
55,true
51,false
59,true
37,false
54,true
57,true
61,true
60,false
62,true
56,true
58,true
69,true
67,false
65,true
64,true
72,false
71,false
63,true
73,false
76,true
66,true
75,false
77,false
68,false
74,true
70,true
80,false
79,false
82,true
81,true
85,false
84,false
83,false
91,false
88,false
89,false
90,false
87,true
92,false
86,true
93,false
78,false
94,false
97,false
96,true
95,false
104,true
101,false
100,true
106,false
99,true
98,true
102,false
103,true
107,true
109,true
105,false
108,false
112,false
111,false
110,false
114,true
113,true
115,true
118,true
121,false
117,false
119,false
116,false
120,true
124,true
123,true
122,true
126,true
125,true
131,true
127,true
129,false
130,false
132,true
128,true
136,true
134,true
137,true
133,true
135,false
139,true
138,true
142,false
141,true
146,true
144,false
145,true
143,false
140,true
151,false
150,false
149,false
154,false
148,false
152,true
147,true
153,false
155,false
156,false
157,true
161,false
160,true
158,true
159,true
162,false
163,true
165,false
166,false
169,true
167,true
170,true
172,true
164,false
171,true
168,false
176,true
175,false
178,false
177,false
173,true
174,false
179,true
180,true
183,true
181,true
187,true
186,false
184,true
182,true
188,true
191,false
189,true
185,true
194,false
193,false
192,false
190,true
197,true
195,false
196,true
198,true
200,true
199,true
203,true
206,true
211,true
204,true
210,false
209,false
207,true
212,true
205,false
202,true
201,false
208,true
214,true
216,false
217,true
215,true
221,false
218,true
220,true
219,true
227,false
222,false
226,false
223,false
224,true
225,false
213,true
229,true
228,false
232,false
230,false
237,true
240,true
233,true
243,true
239,true
238,true
242,true
235,true
241,false
236,false
231,true
246,true
245,true
244,true
234,true
252,false
251,true
256,false
254,true
258,true
250,true
255,true
248,true
253,false
259,true
260,true
261,true
257,false
249,false
247,false
262,false
268,true
264,false
275,true
270,true
271,true
274,true
278,true
269,false
265,false
263,true
273,true
276,false
272,false
267,true
266,true
277,false
281,true
283,false
279,false
282,true
289,true
285,false
284,false
286,false
294,false
290,false
293,false
292,false
288,true
291,true
280,true
295,true
298,true
297,true
299,false
296,true
307,false
304,false
306,true
301,false
308,true
309,true
287,false
302,true
300,true
305,true
303,true
313,true
310,true
311,true
314,true
312,false
321,true
319,true
325,true
320,true
322,true
324,true
318,true
328,false
323,true
329,false
326,true
327,false
317,false
315,false
330,true
316,true
331,true
332,true
334,true
333,true
335,true
344,true
336,false
342,true
340,true
337,true
339,true
343,true
338,true
341,true
345,true
346,false
348,true
349,true
355,true
356,true
350,true
354,true
353,true
347,true
358,true
360,true
352,true
361,true
357,true
359,true
362,true
364,true
365,true
367,false
366,true
369,false
373,false
374,true
363,true
376,false
372,true
375,true
371,true
379,false
370,true
377,true
381,true
368,true
378,true
380,true
383,true
385,true
386,false
382,true
387,true
384,true
388,false
389,true
390,true
394,true
397,true
351,true
391,true
393,true
395,false
398,false
399,true
392,true
402,false
403,false
400,true
401,true
404,true
407,false
411,true
410,true
408,true
406,true
405,true
409,true
415,false
414,true
417,false
412,true
416,false
413,true
396,false
418,true
420,true
423,true
419,false
426,true
427,true
421,true
422,true
424,true
428,false
425,false
431,true
432,true
430,true
433,true
429,true
436,true
434,true
438,true
437,true
435,false
442,true
439,false
441,false
440,true
447,true
443,true
444,false
448,false
445,false
449,false
446,false
452,false
451,false
456,false
450,false
453,true
457,true
458,true
455,false
460,false
462,false
464,true
459,true
461,true
465,true
463,true
471,true
467,false
454,false
469,true
472,false
468,true
470,false
466,true
474,true
473,true
475,true
478,true
476,true
482,true
477,true
479,true
481,false
480,true
483,true
484,true
486,true
485,true
487,true
492,false
489,true
488,false
490,true
493,true
491,true
494,true
497,false
496,true
495,true
498,true
499,false
500,false
501,false
503,true
502,true
505,false
506,true
510,false
508,true
512,true
513,true
514,true
507,false
515,true
509,true
516,true
504,true
519,true
520,true
517,true
523,true
527,false
518,true
522,true
526,false
524,true
525,true
511,true
528,true
531,true
530,true
521,true
533,true
529,true
532,true
534,false
540,false
535,false
537,false
536,false
538,true
542,true
539,false
544,true
549,true
546,true
550,false
548,true
545,true
541,true
547,true
543,true
554,false
552,true
551,true
556,true
553,true
555,true
563,true
557,true
559,false
564,false
561,true
558,true
560,true
562,false
566,true
565,false
567,true
568,true
569,true
570,true
572,false
581,false
574,false
579,false
573,false
576,true
575,false
578,true
577,true
580,true
582,true
583,false
585,false
584,false
587,true
589,false
590,false
588,true
592,false
586,true
596,true
598,false
593,false
594,true
595,true
591,true
599,false
600,false
605,false
604,false
571,true
601,true
597,false
603,false
602,true
609,true
607,true
606,true
611,false
608,false
614,true
610,true
612,true
620,false
615,true
619,false
618,false
621,false
616,true
623,true
613,true
624,false
617,true
622,false
626,false
630,false
629,false
631,false
628,true
625,false
632,false
637,true
627,false
634,false
636,false
635,false
640,true
639,false
641,true
644,false
633,false
642,false
643,false
645,false
638,false
648,true
647,false
650,false
646,false
649,true
651,false
652,false
655,false
653,false
657,false
656,true
660,false
662,true
661,false
659,false
654,true
658,true
664,true
670,false
671,false
663,false
668,true
665,true
669,true
666,true
673,false
672,false
675,true
674,false
676,true
677,true
680,true
681,false
685,false
678,true
686,false
683,true
687,true
684,false
688,false
679,true
682,false
689,false
690,false
691,true
667,false
692,false
696,false
695,false
706,true
693,true
701,false
697,false
705,true
694,true
704,false
702,true
700,false
699,true
703,true
698,true
707,true
709,true
714,false
708,true
716,true
711,true
720,true
715,true
721,false
719,false
713,true
712,false
710,true
717,true
718,true
723,false
724,false
728,true
733,true
727,false
731,false
732,false
726,false
730,false
729,true
722,true
725,true
734,true
735,false
